სახელწოდება,ავტორი,წელი,ქართული გამომცემლობა,შეფასება
ლიოვენშოლდების ბეჭედი,სელმა ლაგერლეფი,1986,საბჭოთა საქართველო,4.15
უარდა,გეორგ ებერსი,1989,საბჭოთა საქართველო,4.07
ფარაონი,ბოლესლავ პრუსი,მითითებული არ არის,საქართველოს მაცნე,3.80
"მიო, ჩემო მიო",ასტრიდ ლინდგრენი,2008,ბაკურ სულაკაურის გამომცემლობა,4.12
დაბრუნება,ერიხ მარია რემარკი,2018,პალიტრა L,4.26
ზიზღი,ალბერტო მორავია,2010,ბაკურ სულაკაურის გამომცემლობა,3.93
"აქ იყო ესპანეთი, სახელად კასტილია",ანტონიო მაჩადო,2014,არტანუჯი,3.99
ჟამი სიცოცხლისა და ჟამი სიკვდილისა,ერიხ მარია რემარკი,2013,პალიტრა L,4.41
ავღანური დღიურები,დიანა იანსე,2011,ბაკურ სულაკაურის გამომცემლობა,3.48
პიანისტი ქალი,ელფრიდე იელინეკი,2006,ინტელექტი,3.54
ესე იტყოდა ზარატუსტრა,ფრიდრიხ ნიცშე,2011,ლითერასი,4.05
ფორსაიტების საგა,ჯონ გოლზუორთი,5/13/1999,პალიტრა L,4.17
ლიოვენშოლდების ბეჭედი,სელმა ლაგერლეფი,1986,საბჭოთა საქართველო,4.15
უარდა,გეორგ ებერსი,1989,საბჭოთა საქართველო,4.07
ფარაონი,ბოლესლავ პრუსი,მითითებული არ არის,საქართველოს მაცნე,3.80
"მიო, ჩემო მიო",ასტრიდ ლინდგრენი,2008,ბაკურ სულაკაურის გამომცემლობა,4.12
დაბრუნება,ერიხ მარია რემარკი,2018,პალიტრა L,4.26
ზიზღი,ალბერტო მორავია,2010,ბაკურ სულაკაურის გამომცემლობა,3.93
"აქ იყო ესპანეთი, სახელად კასტილია",ანტონიო მაჩადო,2014,არტანუჯი,3.99
ჟამი სიცოცხლისა და ჟამი სიკვდილისა,ერიხ მარია რემარკი,2013,პალიტრა L,4.41
ავღანური დღიურები,დიანა იანსე,2011,ბაკურ სულაკაურის გამომცემლობა,3.48
პიანისტი ქალი,ელფრიდე იელინეკი,2006,ინტელექტი,3.54
ესე იტყოდა ზარატუსტრა,ფრიდრიხ ნიცშე,2011,ლითერასი,4.05
ფორსაიტების საგა,ჯონ გოლზუორთი,5/13/1999,პალიტრა L,4.17
კატარინა ბლუმის შელახული ღირსება ანუ როგორ იბადება ძალმომრეობა და სადამდე მივყავართ მას,ჰაინრიხ ბიოლი,2012,პალიტრა L,3.69
უდაბნოსა და ჯუნგლებში,ჰენრიკ სენკევიჩი,2006,ინტელექტი,3.52
ტრამალის მგელი,ჰერმან ჰესე,2010,ბაკურ სულაკაურის გამომცემლობა,4.13
ჯვაროსნები,ჰენრიკ სენკევიჩი,7/15/1977,საბჭოთა საქართველო,3.37
ქალი ჩრდილის გარეშე,ჰუგო ფონ ჰოფმანსტალი,2013,პალიტრა L,3.43
წერილები ჩემი წისქვილიდან,ალფონს დოდე,მითითებული არ არის,ნაკადული,3.43
ხელოვანის პორტრეტი ახალგაზრდობისას,ჯეიმზ ჯოისი,2016,არტანუჯი,3.62
ბატონ ჟერომ კუინიარის აზრები,ანატოლ ფრანსი,მითითებული არ არის,ინტელექტი,3.58
ქალთა ბედნიერება,ემილ ზოლა,2011,ელფის გამომცემლობა,4.01
ლოტე ვაიმარში,თომას მანი,2014,პალიტრა L,3.59
შტილერი,მაქს ფრიში,2014,პალიტრა L,3.59
ცეზარ ბიროტო,ონორე დე ბალზაკი,5/3/1994,პალიტრა L,3.70
ბუდენბროკები: ერთი ოჯახის გადაშენების ამბავი,თომას მანი,მითითებული არ არის,პალიტრა L,4.16
დღეთა ქაფი,ბორის ვიანი,2002,დიოგენე,3.98
ჯადოსნური მთა,თომას მანი,მითითებული არ არის,ბაკურ სულაკაურის გამომცემლობა,4.09
ნარცისი და გოლდმუნდი,ჰერმან ჰესე,2011,სიესტა,4.21
ხუთი კუთხე,მარიო ვარგას ლიოსა,2017,ინტელექტი,3.42
საბრალო მუსიკოსი,ფრანც გრილპარცერი,,საბჭოთა საქართველო,3.63
სამი მეგობარი,ერიხ მარია რემარკი,2013,არეტე,4.49
ქალაქი და ძაღლები,მარიო ვარგას ლიოსა,2013,არეტე,4.49
კურტიზან ქალთა ბრწყინვალება და სიღატაკე,ონორე დე ბალზაკი,2013,არეტე,4.49
მოუთმენლობა გულისა,შტეფან ცვაიგი,,ელფის გამომცემლობა,4.21
მოგონებანი მონასტერზე,ჟოზე სარამაგო,2006,ინტელექტი,3.93
სიკვდილმისჯილის უკანასკნელი დღე,ვიქტორ ჰიუგო,2006,ინტელექტი,3.93
Homo Faber,მაქს ფრიში,1975,საბჭოთა საქართველო,3.74
"გოგონა ავრორა “ც” კორპუსიდან (Aurora, #1)",ანე-კატრინე ვესტლი,1976,ნაკადული,4.29
დონ ჟუანი,ლორდ ბაირონი,,ილიას სახელმწიფო უნივერსიტეტის გამომცემლობა,3.80
"ბერლინი, ალექსანდერპლაცი",ალფრედ დობლინი,2013,პალიტრა L,3.85
ვიდრე ჰხვალ,ჰენრიკ სენკევიჩი,მითითებული არ არის,საქართველოს მაცნე,3.85
ქუჩის ბიჭები,პიერ პაოლო პაზოლინი,2015,დიოგენე,3.69
ოლივერ ტვისტი,ჩარლზ დიკენსი,2014,პალიტრა L,3.86
ასპიტთა ბუდე,ფრანსუა მორიაკი,1/1/1973,საბჭოთა საქართველო,4.05
ჩიპოლინოს თავგადასავალი,ჯანი როდარი,2013,ნაკადული,4.12
მანონ ლესკო,აბატი პრევო,1984,ნაკადული,3.51
კლასობანა,ხულიო კორტესარი,2010,არეტე,4.24
უნიკალური ეგზემპლარი,მილორად პავიჩი,2015,ინტელექტი,3.86
